temperature,humidity,rainfall_mm,wind_speed,crop_type,growth_stage,previous_pest_occurrence,pest_risk,pest_type
31.93,54.72,0.14,4.356,wheat,flowering,0,medium,leaf_miner
32.22,52.33,0.0,5.796,cotton,flowering,0,medium,bollworm
30.75,49.25,0.22,6.264,sugarcane,flowering,0,high,shoot_borer
31.0,46.31,0.0,6.156,rice,maturity,1,high,aphids
30.57,46.0,0.0,6.803999999999999,cotton,flowering,0,medium,bollworm
30.45,45.08,0.22,5.22,wheat,seedling,0,medium,leaf_miner
30.4,42.86,0.0,6.048,rice,seedling,1,high,aphids
30.23,42.53,0.0,6.12,rice,flowering,0,medium,aphids
30.2,41.68,0.04,6.768,rice,seedling,0,medium,aphids
30.45,40.91,0.0,6.588,cotton,maturity,0,medium,bollworm
30.25,42.68,0.0,6.66,wheat,seedling,1,high,leaf_miner
30.74,43.05,0.0,6.228,rice,maturity,1,high,aphids
30.57,41.01,0.0,5.436,sugarcane,vegetative,0,medium,shoot_borer
30.8,38.56,0.0,4.32,rice,vegetative,1,high,aphids
31.96,35.81,0.0,2.8800000000000003,rice,vegetative,0,medium,aphids
30.98,37.91,0.0,4.464,cotton,vegetative,0,medium,bollworm
31.82,35.81,0.0,4.428,cotton,seedling,0,medium,bollworm
32.33,33.26,0.02,3.8880000000000003,wheat,flowering,0,medium,leaf_miner
31.26,35.19,0.7,3.3480000000000003,sugarcane,seedling,0,low,none
30.43,43.11,4.4,2.7,cotton,maturity,0,medium,bollworm
30.9,39.95,0.0,2.952,rice,seedling,0,medium,aphids
26.9,64.12,5.04,4.32,wheat,seedling,0,medium,aphids
28.23,73.21,22.0,3.384,rice,maturity,0,medium,stem_borer
29.44,65.25,8.37,3.744,rice,vegetative,1,high,aphids
28.35,73.32,39.04,8.748000000000001,cotton,vegetative,0,medium,whitefly
26.25,74.71,10.03,7.128,wheat,vegetative,0,medium,aphids
26.79,61.22,0.0,5.760000000000001,sugarcane,flowering,0,high,shoot_borer
26.78,57.0,0.0,5.6160000000000005,sugarcane,maturity,0,medium,shoot_borer
27.67,51.41,0.07,3.7800000000000002,cotton,maturity,1,medium,bollworm
27.78,52.14,0.13,4.5,cotton,seedling,0,low,none
26.81,53.02,0.07,5.4,wheat,flowering,0,medium,aphids
26.64,49.91,0.0,6.48,sugarcane,vegetative,1,high,shoot_borer
25.96,50.05,0.0,7.524,sugarcane,flowering,0,medium,shoot_borer
26.69,45.66,0.0,5.688000000000001,sugarcane,maturity,0,low,none
27.2,44.38,0.0,5.904,rice,maturity,0,medium,aphids
27.88,43.46,0.0,5.184,sugarcane,seedling,1,medium,shoot_borer
28.58,37.1,0.0,3.3120000000000003,rice,seedling,0,low,none
28.21,41.35,0.0,3.528,wheat,maturity,0,medium,leaf_miner
27.84,46.13,0.0,3.8880000000000003,rice,vegetative,0,medium,aphids
28.0,47.76,0.0,4.788,wheat,vegetative,0,medium,leaf_miner
27.71,46.99,0.0,5.5440000000000005,sugarcane,flowering,0,medium,shoot_borer
28.17,42.46,0.0,4.356,sugarcane,maturity,0,medium,shoot_borer
28.47,39.95,0.0,3.24,wheat,maturity,0,low,none
28.45,43.88,0.0,4.86,cotton,vegetative,1,high,bollworm
28.6,51.77,0.0,3.384,wheat,vegetative,1,medium,leaf_miner
28.3,52.97,0.25,3.8880000000000003,cotton,maturity,0,low,none
26.62,58.55,4.27,3.6,rice,seedling,1,high,aphids
26.51,58.28,0.17,2.7,rice,maturity,0,medium,aphids
26.91,51.19,0.0,3.6,rice,maturity,0,low,none
26.45,48.82,0.0,4.680000000000001,sugarcane,vegetative,0,low,none
27.66,43.6,0.0,2.952,rice,vegetative,1,high,aphids
27.07,45.71,0.38,4.248,cotton,seedling,1,medium,bollworm
26.39,46.37,0.0,4.824000000000001,rice,seedling,0,low,none
23.94,49.51,0.0,5.076,wheat,flowering,1,high,leaf_miner
23.19,40.22,0.0,5.436,wheat,maturity,0,low,none
23.46,40.58,0.0,5.724,sugarcane,vegetative,1,medium,pyrilla
24.53,37.68,0.03,3.42,wheat,seedling,1,low,none
23.52,45.28,1.44,5.436,cotton,flowering,0,low,none
23.16,50.17,1.99,5.796,rice,flowering,1,high,aphids
21.19,49.83,0.63,7.272,sugarcane,vegetative,0,low,none
21.42,47.45,0.04,3.8160000000000003,rice,vegetative,0,low,none
21.94,42.71,0.05,4.392,rice,flowering,0,low,none
21.41,40.73,0.0,4.5360000000000005,cotton,seedling,0,low,none
22.07,42.34,0.0,4.5,wheat,flowering,1,high,leaf_miner
22.06,43.1,0.0,3.564,wheat,maturity,1,medium,leaf_miner
22.75,44.27,0.0,3.384,rice,maturity,0,low,none
22.21,46.12,0.0,4.104,sugarcane,vegetative,1,medium,pyrilla
22.48,45.16,0.1,4.896000000000001,wheat,seedling,1,low,none
22.45,45.66,1.95,5.724,sugarcane,seedling,0,low,none
20.41,49.01,0.18,4.068,wheat,maturity,1,medium,leaf_miner
20.48,45.46,0.0,3.492,sugarcane,flowering,0,medium,pyrilla
20.51,38.92,0.12,3.708,cotton,vegetative,1,medium,aphids
21.03,40.21,0.0,4.428,sugarcane,flowering,0,medium,pyrilla
20.13,46.1,0.0,5.976,cotton,flowering,0,medium,aphids
19.49,51.76,0.0,8.208,cotton,flowering,0,medium,aphids
20.48,50.79,0.0,5.652,sugarcane,seedling,0,low,none
22.11,49.54,0.04,7.884,cotton,maturity,0,low,none
21.1,49.56,0.0,7.848000000000001,rice,seedling,0,low,none
21.16,43.78,0.0,5.5440000000000005,cotton,maturity,0,low,none
19.79,40.63,0.03,8.352,wheat,vegetative,1,medium,leaf_miner
17.98,41.44,0.0,7.164,sugarcane,vegetative,0,low,none
18.29,34.85,0.0,5.796,rice,flowering,0,medium,aphids
19.11,30.83,0.0,4.176,sugarcane,maturity,0,low,none
19.03,35.46,0.0,3.636,wheat,maturity,0,low,none
18.47,39.77,0.0,4.824000000000001,wheat,maturity,1,medium,leaf_miner
18.54,37.57,0.0,4.680000000000001,wheat,flowering,1,high,leaf_miner
18.51,36.27,0.0,3.492,cotton,flowering,0,medium,aphids
17.87,38.38,0.0,5.867999999999999,cotton,vegetative,0,low,none
17.41,41.49,0.0,7.38,sugarcane,seedling,1,low,none
18.68,37.03,0.33,4.644,sugarcane,maturity,0,low,none
17.87,48.64,0.48,5.867999999999999,rice,maturity,1,medium,aphids
19.17,42.75,0.04,4.212,rice,seedling,0,low,none
19.38,46.01,0.0,4.176,sugarcane,maturity,1,medium,pyrilla
19.18,43.62,0.0,2.8440000000000003,cotton,flowering,0,medium,aphids
18.1,45.57,0.0,4.176,wheat,flowering,0,medium,leaf_miner
17.61,46.43,0.0,3.9600000000000004,sugarcane,maturity,1,medium,pyrilla
16.86,43.77,0.0,6.588,rice,flowering,0,medium,aphids
17.4,37.42,0.0,4.716,cotton,flowering,0,medium,aphids
18.61,32.86,0.0,3.744,sugarcane,maturity,0,low,none
18.13,32.91,0.0,2.9160000000000004,sugarcane,vegetative,0,low,none
17.24,35.1,0.0,3.708,cotton,seedling,0,low,none
17.68,35.84,0.0,3.492,sugarcane,flowering,0,low,none
16.11,41.72,0.0,9.216000000000001,cotton,vegetative,0,low,none
16.77,44.25,2.11,8.208,wheat,flowering,0,medium,leaf_miner
15.51,53.96,3.22,3.492,cotton,flowering,1,high,aphids
14.27,54.23,0.05,7.524,cotton,seedling,0,low,none
12.8,40.43,0.0,5.760000000000001,cotton,flowering,0,medium,aphids
11.96,35.45,0.0,6.732,sugarcane,seedling,1,low,none
12.28,41.31,0.0,6.3,sugarcane,seedling,0,low,none
14.47,27.4,0.0,3.636,cotton,seedling,0,low,none
13.81,29.1,0.0,4.176,sugarcane,vegetative,0,low,none
11.48,36.49,0.02,6.696000000000001,rice,maturity,0,low,none
12.63,32.81,0.0,5.436,rice,vegetative,0,low,none
12.7,32.56,0.0,4.356,sugarcane,maturity,0,low,none
12.42,36.09,0.0,4.248,sugarcane,maturity,0,low,none
13.12,31.77,0.0,3.168,cotton,seedling,0,low,none
12.02,35.08,0.01,5.148,wheat,flowering,0,medium,leaf_miner
10.21,42.84,0.0,8.748000000000001,sugarcane,seedling,0,low,none
10.13,29.3,0.0,6.048,rice,flowering,0,medium,aphids
12.14,29.19,0.0,6.732,cotton,maturity,1,medium,aphids
14.86,36.03,0.0,6.408,sugarcane,seedling,0,low,none
15.8,44.7,0.0,6.912,rice,flowering,0,medium,aphids
16.32,41.6,0.0,8.172,rice,vegetative,0,low,none
15.36,35.28,0.0,5.4,wheat,flowering,0,low,none
15.01,35.32,0.0,5.328,cotton,seedling,0,low,none
15.03,29.22,0.0,3.7800000000000002,cotton,vegetative,0,low,none
15.12,26.63,0.0,4.464,wheat,flowering,1,medium,leaf_miner
15.16,30.35,0.0,5.724,wheat,flowering,0,low,none
16.44,31.66,0.0,3.06,cotton,flowering,1,high,aphids
16.66,37.86,0.13,3.672,cotton,flowering,0,low,none
16.17,46.38,0.0,3.9960000000000004,sugarcane,flowering,0,medium,pyrilla
16.07,44.73,0.24,3.708,sugarcane,vegetative,0,low,none
14.93,47.2,0.14,6.803999999999999,wheat,maturity,0,low,none
13.62,47.23,0.0,7.524,sugarcane,vegetative,0,low,none
15.28,34.75,0.0,3.8160000000000003,rice,vegetative,0,low,none
15.77,38.12,0.0,3.42,sugarcane,vegetative,0,low,none
16.34,36.33,0.28,5.04,sugarcane,maturity,1,medium,pyrilla
14.81,46.48,2.63,2.9160000000000004,rice,seedling,1,medium,aphids
13.45,49.93,0.03,3.7800000000000002,wheat,maturity,0,low,none
12.42,54.06,0.0,5.5440000000000005,rice,vegetative,0,low,none
12.32,48.27,0.0,6.048,sugarcane,flowering,0,medium,pyrilla
13.44,37.76,0.0,2.3760000000000003,wheat,flowering,0,medium,leaf_miner
12.38,40.38,0.0,4.32,sugarcane,vegetative,0,low,none
11.85,43.45,0.0,4.716,rice,flowering,0,medium,aphids
11.6,39.16,0.03,6.192,rice,vegetative,0,low,none
11.21,29.59,0.0,5.04,sugarcane,flowering,0,medium,pyrilla
12.06,24.31,0.0,3.204,cotton,maturity,1,medium,aphids
11.57,27.07,0.0,4.572,cotton,seedling,1,low,none
10.98,29.4,0.0,4.5,rice,seedling,1,low,none
10.7,30.99,0.0,4.896000000000001,rice,maturity,0,low,none
13.73,27.75,0.0,3.708,cotton,maturity,0,low,none
14.58,33.87,0.0,4.212,cotton,vegetative,0,low,none
15.34,48.18,0.0,5.976,sugarcane,vegetative,0,low,none
16.54,46.81,5.51,3.528,sugarcane,vegetative,0,medium,pyrilla
16.27,56.52,0.69,4.356,cotton,flowering,1,high,aphids
14.51,51.39,0.05,6.588,sugarcane,vegetative,0,low,none
13.16,40.83,0.02,5.760000000000001,sugarcane,maturity,0,low,none
12.64,41.52,0.0,5.688000000000001,wheat,seedling,0,low,none
12.79,38.91,0.0,7.596,sugarcane,flowering,0,medium,pyrilla
13.7,36.81,0.0,5.867999999999999,rice,vegetative,0,low,none
14.45,32.35,0.0,5.5440000000000005,sugarcane,flowering,0,medium,pyrilla
15.46,29.66,0.0,4.6080000000000005,sugarcane,flowering,0,medium,pyrilla
